title,author,rating,isbn,
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling-Mary GrandPré,4.56,439785960,
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling-Mary GrandPré,4.49,439358078,
Harry Potter and the Sorcerer's Stone (Harry Potter  #1),J.K. Rowling-Mary GrandPré,4.47,439554934,
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.41,439554896,
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling-Mary GrandPré,4.55,043965548X,
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling-Mary GrandPré,4.78,439682584,
"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.69,976540606,
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,4.38,345453743,
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams-Stephen Fry,4.22,739322206,
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy #1-5),Douglas Adams,4.38,517149257,
A Short History of Nearly Everything,Bill Bryson-William Roberts,4.2,076790818X,
Bill Bryson's African Diary,Bill Bryson,3.43,767915062,
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.88,767910435,
In a Sunburned Country,Bill Bryson,4.07,767903862,
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,
The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084,
Neither Here nor There: Travels in Europe,Bill Bryson,3.87,380713802,
Notes from a Small Island,Bill Bryson,3.92,380727501,
The Mother Tongue: English and How It Got That Way,Bill Bryson,3.94,380715430,
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,618517650,
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.49,618346244,
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.35,618346252,
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien-Alan  Lee,4.49,618260587,
The Lord of the Rings: Weapons and Warfare,Chris   Smith-Christopher  Lee-Richard Taylor,4.53,618391002,
The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,618510826,
The Lord of the Rings Box Set,J.R.R. Tolkien,4.49,618153977,
Cooking with Fernet Branca (Gerald Samper  #1),James Hamilton-Paterson,3.61,193337201X,
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas-David Heinemeier Hansson-Leon Breedt-Mike Clark-Thomas  Fuchs-Andreas  Schwarz,3.89,097669400X,
Hatchet,Gary Paulsen,3.7,689840926,
"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes-Edward Sciranko-Keith Vasconcelles,3.97,1557344493,
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.87,385326505,
Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.48,1595580271,
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight-Sahara Kelly-Judy Mays-Marteeka Karland-Kate Douglas-Shelby Morgen-Lacey Savage-Kate Hill-Willa Okati,3.75,1595962808,
Changeling (Changeling  #1),Delia Sherman,3.6,670059676,
The Changeling Sea,Patricia A. McKillip,4.07,141312629,
The Changeling,Zilpha Keatley Snyder,4.17,595321801,
The Changeling,Kate Horsley,3.56,1590301943,
The Changeling (Daughters of England  #15),Philippa Carr,3.99,449146979,
The Known World,Edward P. Jones,3.83,61159174,
The Known World,Edward P. Jones-Kevin R. Free,3.83,006076273X,
The Known World,Edward P. Jones,3.83,60749911,
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,273704745,
Artesia: Adventures in the Known World,Mark Smylie,4.16,1932386106,
The Known World,Edward P. Jones,3.83,096513671X,
The John McPhee Reader (John McPhee Reader  #1),John McPhee-William Howarth,4.43,374517193,
Uncommon Carriers,John McPhee,3.95,374280398,
Heirs of General Practice,John McPhee,4.15,374519749,
The Control of Nature,John McPhee,4.24,374522596,
Annals of the Former World,John McPhee,4.33,374518734,
Coming Into the Country,John McPhee,4.22,374522871,
La Place de la Concorde Suisse,John McPhee,3.91,374519323,
Giving Good Weight,John McPhee,4.22,374516006,
Rising from the Plains,John McPhee,4.22,374520658,
The Heidi Chronicles,Wendy Wasserstein,3.73,822205106,
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.83,679734996,
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,
Simply Beautiful Beaded Jewelry,Heidi Boyd,3.75,1581807740,
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker-Rolland Baker,4.45,800793617,
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.7,871202867,
Heidi,Johanna Spyri-Beverly Cleary-Angelo  Rinaldi,3.98,753454947,
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.28,871209993,
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker-Heidi Baker,4.45,1852402873,
What to Expect the First Year (What to Expect),Heidi Murkoff-Sharon Mazel-Heidi Murkoff-Arlene Eisenberg-Sandee Hathaway-Mark D. Widome,3.88,761129588,
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss-Libby Keatinge,3.82,972016414,
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.75,1581805632,
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.83,441294677,
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.9,441102670,
Dune Messiah (Dune Chronicles #2),Frank Herbert,3.87,441172695,
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4,765306476,
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.85,399128980,
The Road to Dune (Dune Universe),Frank Herbert-Brian Herbert-Kevin J. Anderson,3.87,765353709,
Children of Dune (Dune Chronicles #3),Frank Herbert,3.92,441104029,
Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.85,441328008,
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,385732546,
The Power of One: One Person  One Rule  One Month,John C. Maxwell-Stephen R. Graves-Thomas G. Addington,4.28,785260056,
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.31,471780936,
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.79,325001537,
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.49,006076287X,
eBay for Dummies,Marsha Collier,3.5,470045299,
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta-Lisa Suttora,3.62,72262788,
Starting an eBay Business for Dummies,Marsha Collier,3.52,764569244,
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,471933821,
ebay Timesaving Techniques for Dummies,Marsha Collier,3.55,764559915,
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,764584383,
Ruby Cookbook,Lucas Carlson-Leonard Richardson,3.82,596523696,
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.09,806523492,
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,806525363,
Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.65,596527314,
Anna Karenina,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky,4.04,143035002,
Anna Karenina,Leo Tolstoy-David Magarshack-Priscilla Meyer,4.04,451528611,
Anna Karenina,Leo Tolstoy-Richard Pevear-Larissa Volokhonsky-John Bayley,4.04,140449175,
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman-Leo Tolstoy,3.89,822001837,
Anna Karenina,Leo Tolstoy-Amy Mandelker-Constance Garnett,4.04,1593080271,
Anna Karenina,Leo Tolstoy-Louise Maude-Aylmer Maude,4.04,486437965,
Anna Karenina,Leo Tolstoy-Constance Garnett-Amy Mandelker,4.04,1593081774,
Dinner with Anna Karenina,Gloria Goldreich,2.96,778322270,
Tolstoy: Anna Karenina,Anthony Thorlby,4.19,521313252,
Untouchable,Mulk Raj Anand-E.M. Forster,3.7,140183957,
The Untouchable,John Banville,3.96,679767479,
The Untouchables,Eliot Ness-Oscar Fraley,3.89,1568491980,
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,743270797,
Dalit: The Black Untaouchables of India,V.T. Rajshekar-Y.N. Kly,4.33,932863051,
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon-Gail Omvedt-Eleanor Zelliot,3.58,742508803,
The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,205358624,
"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello-Patty Carratello-Theresa Wright,3.94,1557344035,
Wrinkles in Time,George Smoot-Keay Davidson,3.99,380720442,
A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.01,821925326,
Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.57,043927169X,
Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.01,606105263,
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.11,751506435,
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,
Long Way Round: Chasing Shadows Across the World,Ewan McGregor-Charley Boorman-Robert Uhlig,3.94,743499344,
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,765313405,
New Hope for the Dead (Hoke Mosely #2),Charles Willeford-James Lee Burke,3.91,1400032490,
Sideswipe: A Hoke Moseley Novel,Charles Willeford-Lawrence Block,4.04,1400032482,
Miami Blues (Hoke Mosely #1),Charles Willeford-Elmore Leonard,3.94,1400032466,
I am Charlotte Simmons,Tom Wolfe,3.41,312424442,
Poetry for Young People: Edward Lear,Edward Lear-Laura Huliska-Beith-Edward Mendelson,3.9,806930772,
The Puffin Book of Nonsense Verse,Quentin Blake,4.04,140366601,
Henry Miller on Writing,Henry Miller-Thomas H. Moore,4.23,811201120,
Quiet Days in Clichy,Henry Miller,3.69,080213016X,
Tropic of Cancer,Henry Miller-Jiří Níl,3.69,802131786,
Tropic of Capricorn,Henry Miller,3.82,802151825,
Nexus (The Rosy Crucifixion  #3),Henry Miller,4.09,802151787,
Sexus (The Rosy Crucifixion  #1),Henry Miller,4.04,802151809,
The Air-Conditioned Nightmare,Henry Miller,3.83,811201066,
The Portrait of a Lady,Henry James-Patricia Crick,3.77,141439637,
The Portrait of a Lady,Henry James-Gabriel Brownstein-Mary Cregan,3.77,1593080964,
The Lover,Marguerite Duras-Barbara Bray-Maxine Hong Kingston,3.75,375700528,
The War,Marguerite Duras-Barbara Bray-قلسم روبین,3.85,1565842219,
The Ravishing of Lol Stein,Marguerite Duras-Richard Seever,3.67,394743040,
Destroy  She Said,Marguerite Duras-Barbara Bray-Helen Lane Cumberford,3.68,080215154X,
L'Amant de la Chine du Nord,Marguerite Duras,3.89,2070388093,
Love Letters,Kahlil Gibran-Suheil Bushrui-Salma H. Al-Kuzbari,3.67,1851681825,
Kahlil Gibran: His Life and World,Jean Gibran-جبران خليل جبران-Kahlil Gibran,4.2,156656249X,
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran-John Walbridge-Robin Waterfield,4.19,014019553X,
Jesus the Son of Man,Kahlil Gibran-جبران خليل جبران,3.98,394431243,
The Broken Wings,Kahlil Gibran-جبران خليل جبران-Anthony R. Ferris,3.92,806501901,
Sand and Foam,Kahlil Gibran-جبران خليل جبران,4.08,067943920X,
Treasure Island,Robert Louis Stevenson,3.83,753453800,
Treasure Island,Robert Louis Stevenson-Scott McKowen,3.83,1402714572,
Treasure Island,Robert Louis Stevenson,3.83,1416500294,
Treasure Island,Robert Louis Stevenson-N.C. Wyeth-Timothy Meis,3.83,689854684,
Treasure Island,Robert Louis Stevenson-Milo Winter,3.83,517221144,
Treasure Island (Great Illustrated Classics),Deidre S. Laiken-A.J. McAllister-Robert Louis Stevenson,4.04,1577658051,
Daniel Deronda,George Eliot-Edmund White,3.83,037576013X,
100 Years of Lynchings,Ralph Ginzburg,4.63,933121180,
One Hundred Years of Solitude,Gabriel García Márquez-Gregory Rabassa,4.06,60531045,
Cien años de soledad,Gabriel García Márquez,4.06,785950109,
Cien años de soledad,Gabriel García Márquez,4.06,8423919005,
On Beyond Zebra!,Dr. Seuss,4.04,394800842,
The Wedding Clause,Debbie Raleigh,3.58,821778250,
The Zebra Wall,Kevin Henkes,3.46,60733039,
El perfume: Historia de un asesino,Patrick Süskind,4.02,8432216062,
Jitterbug Perfume,Tom Robbins,4.24,553348981,
Perfume: The Story of a Murderer,Patrick Süskind-John E. Woods,4.02,140120831,
Off the Main Sequence: The Other Science Fiction Stories of Robert A. Heinlein,Robert A. Heinlein,4.01,1582881847,
The Door Into Summer,Robert A. Heinlein,4.01,345413997,
The Moon is a Harsh Mistress,Robert A. Heinlein,4.17,312863551,
Stranger in a Strange Land,Robert A. Heinlein,3.92,441788386,
The Notebooks of Lazarus Long,Robert A. Heinlein-Stephen Hickman,4.07,074348844X,
To Sail Beyond the Sunset,Robert A. Heinlein,3.87,441748600,
Job: A Comedy of Justice,Robert A. Heinlein,3.78,345316509,
Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,765314932,
The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,671742515,
The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.92,345455290,
Mostly Harmless (Hitchhiker's Guide to the Galaxy  #5),Douglas Adams,3.97,345418778,
Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,345476514,
Douglas Adams's Starship Titanic,Terry Jones,3.6,345368436,
Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams-Christopher Cerf,3.92,1417622857,
The Phantom Tollbooth,Norton Juster-Jules Feiffer,4.21,394820371,
The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus-Norton Juster,4.1,573650969,
On Bullshit,Harry G. Frankfurt,3.57,691122946,
Another Bullshit Night in Suck City,Nick Flynn,3.78,393329402,
Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.13,671867423,
The Gettysburg Address,Abraham Lincoln-Michael McCurdy,4.53,395883970,
Underworld,Don DeLillo,3.92,684848155,
Libra,Don DeLillo,3.99,140156046,
Mao II,Don DeLillo,3.68,140152741,
Americana,Don DeLillo,3.43,140119485,
Running Dog,Don DeLillo,3.42,679722947,
Cosmopolis,Don DeLillo,3.22,743244257,
Great Jones Street,Don DeLillo,3.48,140179178,
The Names,Don DeLillo,3.64,679722955,
Against the Day,Thomas Pynchon,4.12,159420120X,
V.,Thomas Pynchon,3.96,60930217,
The Crying of Lot 49,Thomas Pynchon,3.7,60931671,
Gravity's Rainbow,Thomas Pynchon,4.02,140283382,
Mason & Dixon,Thomas Pynchon,4.06,312423209,
Vineland,Thomas Pynchon,3.68,141180633,
Gravity's Rainbow,Thomas Pynchon,4.02,143039946,
Slow Learner: Early Stories,Thomas Pynchon,3.5,316724432,
Been Down So Long It Looks Like Up To Me,Richard Fariña-Thomas Pynchon,3.81,140189300,
The Year of Magical Thinking,Joan Didion,3.88,140004314X,
The White Album,Joan Didion,4.17,374522219,
A Book of Common Prayer,Joan Didion,3.8,679754865,
Where I Was From,Joan Didion,3.86,679752862,
Democracy,Joan Didion,3.81,679754857,
We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion-John Leonard,4.49,307264874,
Play It as It Lays,Joan Didion-David Thomson,3.87,374529949,
The New York Trilogy,Paul Auster-Art Spiegelman-Luc Sante,3.9,143039830,
City of Glass (The New York Trilogy  #1),Paul Auster,3.79,140097317,
Ghosts (The New York Trilogy  #2),Paul Auster,3.65,014009735X,
The Locked Room (The New York Trilogy  #3),Paul Auster,3.89,940650762,
Pyramids of Montauk: Explorations in Consciousness,Peter Moon-Preston B. Nichols-Nina Helms,3.91,963188925,
The Brooklyn Follies,Paul Auster,3.83,312426232,
Moon Palace,Paul Auster,3.98,140115854,
Timbuktu,Paul Auster,3.68,312263996,
Neon Lit: Paul Auster's City of Glass,Paul Karasik-David Mazzucchelli-Paul Auster-Bob Callahan,3.92,038077108X,
The Music of Chance,Paul Auster,3.9,140154078,
Travels in the Scriptorium,Paul Auster,3.23,805081453,
Leviathan,Paul Auster,3.95,140178139,
The Red Notebook: True Stories,Paul Auster,3.77,811214982,
Timbuktu / Leviathan / Moon Palace,Paul Auster,4.4,2742741461,
Why Write?,Paul Auster,3.77,1886224145,
Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93,143036556,
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb-Glen C. Strathy,3.39,446579785,
Collapse of Complex Societies,Joseph A. Tainter,4.13,052138673X,
Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.79,743203046,
The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.92,034543871X,
Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo-Gloria Bird-Beth Cuthand-Valerie Martinez-Patricia Blanco,4.39,393318281,
My Inventions,Nikola Tesla,4.01,1599869942,
Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer-William H. Terbo,3.77,806519606,
Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.95,822549204,
Tesla Papers,Nikola Tesla-David Hatcher Childress,4.12,932813860,
The Invention of Tradition,Eric Hobsbawm-Terence O. Ranger-Hugh Trevor-Roper-Prys Morgan-David Cannadine-Bernard S. Cohn,3.96,521437733,
Boys of Summer,Julie Elizabeth Leto-Leslie Kelly-Kimberly Raye,3.77,373792689,
Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas-Chad Fowler-Andy Hunt,4.04,974514055,
Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly-CliffsNotes-William Golding,3.92,764585975,
Lord of the Flies,William Golding,3.67,307281701,
Lord of the Flies,William Golding-Ben Gibson-E.M. Forster-Edmund L. Epstein,3.67,399529209,
A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11,812969707,
We Were Not Like Other People,Ephraim Sevela-Antonina W. Bouis,4.15,60255080,
The Lovely Bones,Alice Sebold,3.79,330485385,
The Lovely Bones,Alice Sebold,3.79,159413023X,
Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.81,345360354,
The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea-Molly E. Holzschlag,4,321303474,
HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.8,321430840,
1000 Record Covers,Michael Ochs-Patrick Javault-Ulrike Wasel,3.84,3822840858,
Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.83,743264460,
Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.74,743236017,
Reefer Madness: Sex  Drugs  and Cheap Labor in the American Black Market,Eric Schlosser,3.77,965762645,
Vice (V  #8),Jane Feather,3.51,553572490,
Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values,Robert M. Pirsig,3.77,60589469,
Once Upon a Cool Motorcycle Dude,Kevin O'Malley-Carol Heyer-Scott Goto,4.08,802789471,
Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto-Thomas J. Steele,3.72,688060692,
Motorcycle Basics Techbook,John Harold Haynes,3.83,185960515X,
LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel-Bill Gardner,3.96,1592530877,
The Death of Ivan Ilych And Other Stories,Leo Tolstoy-Hugh McLean,4.1,451528808,
War and Peace,Leo Tolstoy-Henry Gifford-Aylmer Maude-Louise Maude,4.11,192833987,
The Kingdom of God Is Within You,Leo Tolstoy-Constance Garnett,4.13,486451380,
Hunters Of Dune (Dune Chronicles  #7),Brian Herbert-Kevin J. Anderson,3.65,340837489,
Atlas Shrugged,Ayn Rand-Leonard Peikoff,3.68,452011876,
For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,3.68,451163087,
The Fountainhead,Ayn Rand,3.86,452286751,
The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand-Nathaniel Branden,3.5,451163931,
Anthem,Ayn Rand,3.63,452281253,
We the Living,Ayn Rand-Leonard Peikoff,3.91,451187849,
Capitalism: The Unknown Ideal,Ayn Rand-Nathaniel Branden-Alan Greenspan-Robert Hessen,3.87,451147952,
Letters of Ayn Rand,Ayn Rand-Michael S. Berliner-Leonard Peikoff,3.97,452274044,
Sailing for Dummies,J.J. Isler-Peter Isler,3.94,471791431,
Sailing from Byzantium: How a Lost Empire Shaped the World,Colin  Wells,3.87,553803816,
Sailing Alone Around the Room: New and Selected Poems,Billy Collins,4.23,375755195,
The Greatest Sailing Stories Ever Told: Twenty-Seven Unforgettable Stories,Christopher Caswell,3.63,1592283195,
"Natural Cures ""They"" Don't Want You to Know about",Kevin Trudeau,3.08,975599518,
The Natural,Bernard Malamud-Kevin Baker,3.63,374502005,
Digging to America,Anne Tyler,3.55,307263940,
Rereading America: Cultural Contexts for Critical Thinking and Writing,Gary Colombo-Bonnie Lisle,3.77,312405545,
Modern Latin America,Thomas E. Skidmore-Peter H. Smith,3.59,019517013X,
The Plot Against America,Philip Roth,3.75,1400079497,
America (The Book): A Citizen's Guide to Democracy Inaction,Jon Stewart-Ben Karlin-David Javerbaum-Rich Bloomquist-Steve Bodow-Tim Carvell-Eric Drysdale-J.R. Havlan-Scott Jacobson-Tom Johnson-Rob Kutner-Chris Regan-Jason Reich-Jason Ross-Stephen Colbert-Samantha Bee-Rob Corddry-Brendan Hay-Ed Helms,4.02,713998946,
Naked Pictures of Famous People,Jon Stewart,3.59,688171621,
Collected Stories,Gabriel García Márquez-Gregory Rabassa-J.S. Bernstein,4.19,60932686,
Crónica de una muerte anunciada,Gabriel García Márquez,3.96,1400034957,
Cien años de soledad,Gabriel García Márquez,4.06,307350428,
Del amor y otros demonios,Gabriel García Márquez,3.98,307350444,
Living to Tell the Tale,Gabriel García Márquez-Edith Grossman,3.98,140003454X,
Memoria de mis putas tristes,Gabriel García Márquez,3.59,1400095808,
The Elegant Universe: Superstrings  Hidden Dimensions  and the Quest for the Ultimate Theory,Brian Greene,4.07,375708111,
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,Upasika Kee Nanayon-Thanissaro Bhikkhu,4.38,086171492X,
The Mini Rough Guide to London,Rob Humphreys-Beth Chaplin-Rebecca Morrill,3.75,184353584X,
London: City Guide (Lonely Planet City Guide),Lonely Planet-Sarah Johnstone-Tom Masters,4.03,1740598318,
Best of London (Lonely Planet Best Of),Lonely Planet-Sarah Johnstone-Steve Fallon,4.09,1740594770,
London,Lonely Planet-Steve Fallon-Pat Yale,4.03,186450353X,
Lonely Planet Londres,Lonely Planet-Sarah Johnstone-Tom Masters,4.03,8408064762,
Out to Eat London 2002 (Lonely Planet Out to Eat),Lonely Planet-Mark Honan,0,1740592050,
Three Nights in August: Strategy  Heartbreak  and Joy Inside the Mind of a Manager,H.G. Bissinger,3.87,618710531,
Cryptonomicon,Neal Stephenson,4.25,60512806,
Golgotha (Cryptonomicon  #3),Neal Stephenson,4.13,2228894699,
Le Réseau Kinakuta (Cryptonomicon  #2),Neal Stephenson,4.11,2228894168,
The Confusion (The Baroque Cycle  #2),Neal Stephenson,4.25,60733357,
Quicksilver (The Baroque Cycle  #1),Neal Stephenson,3.93,60593083,
The Cobweb,Neal Stephenson-J. Frederick George,3.61,553383442,
Zodiac,Neal Stephenson,3.71,553573861,
The Big U,Neal Stephenson,3.25,380816032,
The Diamond Age: Or  A Young Lady's Illustrated Primer,Neal Stephenson,4.19,553380966,
Interface,Neal Stephenson-George F. Jewsbury-Stephen  Bury,3.67,553383434,
Odalisque (The Baroque Cycle  Vol. 1  Book 3),Neal Stephenson,4.2,60833181,
Snow Crash,Neal Stephenson,4.03,553380958,
Snow Crash,Neal Stephenson-Joachim Körber,4.03,344245302X,
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume II: The Endgame,Dan Harrington-Bill Robertie,4.15,1880685353,
Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments  Volume I: Strategic Play,Dan Harrington-Bill Robertie,4.23,1880685337,
The Design of Everyday Things,Donald A. Norman,4.19,465067107,
Emotional Design: Why We Love (or Hate) Everyday Things,Donald A. Norman,3.94,465051367,
The Psychology of Everyday Things,Donald A. Norman,4.19,465067093,
No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones-Diane M. Hanson-Stephen K. Ray,4.26,898709199,
The Alchemist,Paulo Coelho-Alan R. Clarke-James Noel Smith,3.85,60887966,
The Alchemist,Paulo Coelho-Alan R. Clarke-Özdemir İnce,3.85,61122416,
Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa-Akira Watanabe,4.57,142150460X,
Fullmetal Alchemist  Vol. 3 (Fullmetal Alchemist  #3),Hiromu Arakawa-Akira Watanabe,4.56,1591169259,
Fullmetal Alchemist  Vol. 8 (Fullmetal Alchemist  #8),Hiromu Arakawa-Akira Watanabe,4.57,1421504596,
Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa-Akira Watanabe,4.49,1591169208,
Fullmetal Alchemist  Vol. 4 (Fullmetal Alchemist  #4),Hiromu Arakawa-Akira Watanabe,4.55,1591169291,
The Illustrated Alchemist: A Fable about Following Your Dream,Paulo Coelho-Alan R. Clarke-Mœbius,3.85,006019250X,
Fullmetal Alchemist  Vol. 2 (Fullmetal Alchemist  #2),Hiromu Arakawa-Akira Watanabe,4.52,1591169232,
The Kite Runner,Khaled Hosseini,4.28,747588945,
Pompeii,Robert   Harris,3.81,812974611,
The Last Days of Pompeii,Edward Bulwer-Lytton-John Gregory Betancourt,3.59,158715739X,
Of Mice and Men,John Steinbeck,3.86,142000671,
Of Mice and Men,John Steinbeck-Jim Taylor,3.86,582461464,
The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,3.74,60554738,
The Westing Game,Ellen Raskin,4.02,014240120X,
The Egypt Game,Zilpha Keatley Snyder,3.82,808553038,
Memoirs of a Geisha,Arthur Golden,4.1,1400096898,
Memoirs of a Geisha,Arthur Golden,4.1,739326228,
Memoirs of a Geisha,Arthur Golden,4.1,99498189,
Memoirs of a Geisha: A Portrait of the Film,David        James-Peggy Mulloy-Rob Marshall-Arthur Golden,4.08,1557046832,
Memoirs of a Geisha,Arthur Golden,4.1,99771519,
Geisha of Gion,Mineko Iwasaki-Rande Brown,3.93,074343059X,
Memoirs Of A Geisha,Arthur Golden,4.1,7229577,
Love As A Foreign Language #5,J. Torres-Eric  Kim,3.44,1932664394,
