title,author,rating,isbn,
Kiss,Jill Mansell,3.68,747268460,
Solo,Jill Mansell,3.66,747267456,
Two's Company,Jill Mansell,3.59,747267448,
Open House,Jill Mansell,3.89,074726743X,
The Dream Kingdom (The Morland Dynasty  #26),Cynthia Harrod-Eagles,4.33,751533432,
The One You Really Want,Jill Mansell,3.78,755304888,
Falling for You,Jill Mansell,3.79,755304853,
Millie's Fling,Jill Mansell,3.74,747264864,
Sheer Mischief,Jill Mansell,3.83,747268479,
Head Over Heels,Jill Mansell,3.72,747257361,
Una mujer astuta,Jill Mansell,3.83,8401475422,
Mixed Doubles,Jill Mansell,3.72,747257353,
Méli-mélo,Jill Mansell,3.72,2290327506,
Seven Sunny Days,Chris Manby,3.32,373895208,
Girl Meets Ape,Chris Manby,3.44,340828064,
Flatmates,Chris Manby,3.53,340689609,
Second Prize,Chris Manby,3.59,340689625,
Running Away from Richard,Chris Manby,3.47,340769203,
Deep Heat,Chris Manby,3.48,340717610,
Lizzie Jordan's Secret Life,Chris Manby,3.58,340769181,
Girls' Night In,Jessica Adams-Chris Manby-Fiona Walker,3.26,6514855,
Flatmates / Deep Heat,Chris Manby,3.78,340793929,
Tales from Shakespeare,Charles Lamb-Mary Lamb-Arthur Rackham,3.94,140621598,
Sonnets,William Shakespeare-Katherine Duncan-Jones-Vasco Graça Moura,4.25,1903436575,
Love Poems and Sonnets,William Shakespeare,4.34,385017332,
Shakespeare A to Z: The Essential Reference to His Plays  His Poems  His Life and Times  and More,Charles Boyce-David Allen White,4.35,385313616,
The Sonnets,William Shakespeare-Stephen Orgel-John Hollander,4.25,140714537,
Shakespeare Alive!,Joseph Papp-Elizabeth Kirkland,3.39,553270818,
Shakespeare's Secret,Elise Broach,3.87,805073876,
The Complete Sonnets and Poems,William Shakespeare-Colin Burrow,4.34,019281933X,
The Arden Shakespeare Complete Works,William Shakespeare-Richard Proudfoot-Ann Thompson-David Scott Kastan-Harold Jenkins,4.54,1903436613,
Reduced Shakespeare: The Attention-impaired Readers Guide to the World's Best Playwright,Reed Martin-Austin Tichenor,4.14,1401302203,
The Cat Who Knew Shakespeare (Cat Who...  #7),Lilian Jackson Braun,3.91,747250383,
The Shakespeare Stealer (Shakespeare Stealer  #1),Gary L. Blackwood,3.68,141305959,
Richard III,William Shakespeare-Barbara A. Mowat-Paul Werstine,3.93,743482840,
King Henry VI  Part 3,William Shakespeare-John D. Cox-Eric Rasmussen,3.75,1903436311,
The Age Of Shakespeare,Frank Kermode,3.66,753819953,
Ukraine,Sarah Johnstone,3.88,186450336X,
London,Lonely Planet-Martin  Hughes-Sarah Johnstone-Tom Masters,4.02,1741040914,
Switzerland (Lonely Planet Guide),Damien Simonis-Sarah Johnstone-Lonely Planet-Nicola Williams,3.82,1740597621,
Jimi Hendrix: The Complete Guide to His Music  (Complete Guide to the Music of...),Peter Doggett,4,1844494241,
Outside the Dog Museum (Answered Prayers  #4),Jonathan Carroll,3.97,765311852,
Glass Soup  (Vincent Ettrich  #2),Jonathan Carroll,3.87,765311801,
The Land of Laughs,Jonathan Carroll,3.9,312873115,
Sleeping in Flame (Answered Prayers  #2),Jonathan Carroll-Dave McKean,4.05,765311860,
Bones of the Moon (Answered Prayers  #1),Jonathan Carroll,3.89,312873123,
Voice of Our Shadow,Jonathan Carroll,3.8,575073675,
Kissing the Beehive (Crane's View  #1),Jonathan Carroll,3.69,575402911,
Baby Proof,Emily Giffin,3.71,312348649,
Something Blue (Darcy & Rachel  #2),Emily Giffin,3.93,312323867,
Something Borrowed (Darcy & Rachel  #1),Emily Giffin,3.84,031232118X,
P.S. Longer Letter Later (Elizabeth and Tara*Starr  #1),Paula Danziger-Ann M. Martin,3.77,590213113,
P.S. Your Cat Is Dead,James Kirkwood Jr.,3.75,312321201,
P.S. I Love You Three!,Lynda Milligan-Nancy J. Smith,4,1880972476,
P. S. I Love You (Sweet Dreams  #1),Barbara Conklin,4.09,553140191,
The Christmas Shoes (Christmas Hope #1),Donna VanLiere,4.23,312289510,
Burning The Map,Laura Caldwell,3.52,373250215,
iMovie 4 & iDVD: The Missing Manual: The Missing Manual,David Pogue,3.25,596006934,
Wabi-Sabi: For Artists  Designers  Poets & Philosophers,Leonard Koren,4.03,1880656124,
The Icarus Agenda,Robert Ludlum,3.95,752858505,
Invisible Cities,Italo Calvino-William Weaver,4.16,151452903,
Life Is a Dream,Pedro Calderón de la Barca,3.98,486421244,
Life Is a Dream and Other Spanish Classics (Eric Bentley's Dramatic Repertoire) - Volume II,Pedro Calderón de la Barca-Miguel de Cervantes Saavedra-Lope de Vega-Tirso de Molina-Roy Campbell-Eric Bentley,3.81,1557830061,
Life Is A Dream = La Vida Es Sueño,Pedro Calderón de la Barca-Stanley Appelbaum,3.98,486424731,
Life Is a Dream,Pedro Calderón de la Barca-Gregary Racz,3.98,143104829,
Stylepedia: A Guide to Graphic Design Mannerisms  Quirks  and Conceits,Steven Heller-Louise Fili,4.07,811833461,
I Can Fly,Ruth Krauss-Mary Blair,4.23,307001466,
The Spettecake Holiday,Edith Unnerstad-Iben Clante-Inger Boye,4.18,27905403,
The Journey With Grandmother,Edith Unnerstad-Claes Backstrom-Lilian Seaton,3.75,27897508,
A Whole Lotta Love,Donna Hill-Francis Ray-Brenda Jackson-Monica Jackson,4.46,451210905,
The Best of Pippi Longstocking (Pippi Longstocking  #1-3),Astrid Lindgren-Tony Ross,4.25,192753371,
Astrid Lindgren: Storyteller to the World,Johanna Hurwitz-Michael Dooling,3.71,140326928,
The Brothers Lionheart,Astrid Lindgren,4.36,034023475X,
Karlsson on the Roof,Astrid Lindgren-Ilon Wikland-Patricia Crampton,4.11,749710373,
Emil And The Bad Tooth,Astrid Lindgren,4.2,340209232,
Astrid Lindgren. Ein Lebensbild.,Margareta Strömstedt-Tõnis Arnover,4.11,3789147176,
Kalle Blomquist (#1-3),Astrid Lindgren,4.2,3789141305,
Pippi Longstocking,Astrid Lindgren,4.12,140379096,
Pinky Pye,Eleanor Estes-Edward Ardizzone,3.85,439650429,
The Moffats (The Moffats  #1),Eleanor Estes-Louis Slobodkin,4,152025413,
Arthur and the Lost Kingdoms,Alistair Moffat,3.73,753810743,
God's Generals Why They Succeeded and Why Some Fail,Roberts Liardon,4.45,883689448,
The Alley (The Alley  #1),Eleanor Estes-Edward Ardizzone,3.82,152049185,
Pinky Pye (The Pyes  #2),Eleanor Estes-Edward Ardizzone,3.85,152025650,
The Witch Family,Eleanor Estes-Edward Ardizzone,4.07,015202610X,
The Hundred Dresses,Eleanor Estes-Louis Slobodkin,4.09,152052607,
The Sleeping Giant and Other Stories,Eleanor Estes,4,152758518,
Theater Shoes,Noel Streatfeild-Diane Goode,4.02,613013379,
Gemma Alone (Gemma  #3),Noel Streatfeild,3.6,440428653,
When the Siren Wailed,Noel Streatfeild-Judith Gwyn Brown,3.73,394931475,
The Caine Mutiny Court-Martial,Herman Wouk,4.13,385514417,
Band of Brothers: E Company  506th Regiment  101st Airborne from Normandy to Hitler's Eagle's Nest,Stephen E. Ambrose,4.43,743464117,
Midnight Riders: The Story of the Allman Brothers Band,Scott  Freeman,3.98,316294527,
The Story of Babar,Jean de Brunhoff,4.08,590102354,
Babar the King,Jean de Brunhoff,4.18,1405204664,
Babar's World Tour,Laurent de Brunhoff,3.84,810957809,
Histoire De Babar Le Petit Elephant,Jean de Brunhoff,4.08,2010025199,
The Easter Rabbit's Parade,Lois Lenski,2.97,037582748X,
The Little Fire Engine,Lois Lenski,3.58,375810706,
Right Stuff  Wrong Sex: America's First Women in Space Program,Margaret A. Weitekamp,3.8,801883946,
The Right Stuff (To Protect and Defend #3),Merline Lovelace,3.57,373273495,
For Whom the Bell Tolls,Ernest Hemingway,3.96,1117066037,
Cliffs Notes on Hemingway's The Sun Also Rises,Gary K. Carey,3.54,822012375,
Dune (Dune #1),Frank Herbert-Domingo Santos,4.22,849759682X,
God Emperor of Dune (Dune Chronicles #4),Frank Herbert,3.84,575075066,
Sandworms of Dune (Dune Chronicles #8),Brian Herbert-Kevin J. Anderson,3.64,076531293X,
In Harm's Way: The Sinking of the U.S.S. Indianapolis and the Extraordinary Story of Its Survivors,Doug Stanton,4.28,805073663,
Harm's Way,Elizabeth Stewart,3.36,1419950584,
Harm's Way: Lust & Madness & Murder & Mayhem,Joel-Peter Witkin-Stanley B. Burns,4.55,944092284,
I Like Winter (Seasons  #3),Lois Lenski-Heidi Kilgras,3.86,375810684,
Strawberry Girl,Lois Lenski,3.86,64405850,
Coal Camp Girl,Lois Lenski,4.09,397304447,
Betsy-Tacy and Tib (Betsy-Tacy  #2),Maud Hart Lovelace-Lois Lenski,4.17,006024416X,
After Collapse: The Regeneration of Complex Societies,Glenn M. Schwartz,4,816525099,
Seize The Fire,Elda Minger,4,373161174,
How to Twist a Dragon's Tale (How to Train Your Dragon  #5),Cressida Cowell,4.22,340902620,
We Were Soldiers Once... and Young: Ia Drang - The Battle that Changed the War in Vietnam,Harold G. Moore-Joseph L. Galloway,4.31,034547581X,
We Were Soldiers Once ... and Young (Ia Drang - the Battle That Changed the War in Vietnam),Harold G. Moore-Joseph L. Galloway,4.31,60506989,
We were Soldiers Once... and young,Harold G. Moore-Joseph L. Galloway,4.31,552150266,
Eisenhower: Soldier and President,Stephen E. Ambrose,3.97,671747584,
Dwight D. Eisenhower (The American Presidents  #34),Tom Wicker-Arthur M. Schlesinger Jr.,3.82,805069070,
Crusade in Europe,Dwight D. Eisenhower,4.08,080185668X,
Total Cold War: Eisenhower's Secret Propaganda Battle at Home and Abroad,Kenneth Osgood,3.83,700614451,
So Far from God: The U.S. War With Mexico  1846-1848,John S.D. Eisenhower,3.93,806132795,
Yanks: The Epic Story of the American Army in World War I,John S.D. Eisenhower-Joanne Thompson Eisenhower,3.69,743223853,
Eisenhower  Volume #1: Soldier  General of the Army  President-Elect  1890-1952,Stephen E. Ambrose,4.2,671440691,
Eisenhower  Volume #2: The President,Stephen E. Ambrose,4.2,671605658,
The Autobiography of Martin Luther King  Jr.,Martin Luther King Jr.-Clayborne Carson,4.34,446676500,
Halsey's Typhoon: The True Story of a Fighting Admiral  an Epic Storm  and an Untold Rescue,Bob Drury-Tom Clavin,4.09,871139480,
Bull Halsey,E.B. Potter,4.16,1591146917,
Berries in the Scoop: a Cape Cod Cranberry Story (Roundabout America  #5),Lois Lenski,3.87,397303254,
Water  Water Everywhere: A Splash & Giggle Bath Book (Baby Einstein),Julie Aigner-Clark-Nadeem Zaidi,3.7,786819111,
